UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_MESSAGE_TIMESTAMP,LAST_MESSAGE_TIMESTAMP,FIRST_MESSAGE_VALUE,HIGH_MESSAGE_VALUE,HIGH_MESSAGE_TIMESTAMP,LOW_MESSAGE_VALUE,LOW_MESSAGE_TIMESTAMP,LAST_MESSAGE_VALUE,TOTAL_INDEX_UPDATES,VOLUME,QUOTE_VOLUME,VOLUME_TOP_TIER,QUOTE_VOLUME_TOP_TIER,VOLUME_DIRECT,QUOTE_VOLUME_DIRECT,VOLUME_TOP_TIER_DIRECT,QUOTE_VOLUME_TOP_TIER_DIRECT
HOUR,1714665600,267,cadli,BTC-USD,59302.1750542809,59343.7647666616,59003.7717768318,59068.963739652,1714665600,1714669199,59301.9138458298,59343.7647666616,1714665617,59003.7717768318,1714668411,59068.963739652,73829,16876.6569508306,997327036.005967,9368.5515238528,553669370.118024,1597.22991444078,94357600.9365872,1233.16455605,72853129.4094067
HOUR,1714669200,267,cadli,BTC-USD,59068.963739652,59319.4611369804,59009.7516207542,59246.1240956787,1714669200,1714672799,59068.9631556973,59319.4611369804,1714672602,59009.7516207542,1714669590,59246.1240956787,73898,14593.9773522237,862967663.507251,8606.48423323609,508910368.176855,1444.20308429523,85364315.2452815,1146.1069119,67742399.9777669
HOUR,1714672800,267,cadli,BTC-USD,59246.1240956787,59602.5044715372,59048.7305550747,59444.1185848586,1714672800,1714676399,59246.0897965636,59602.5044715372,1714675788,59048.7305550747,1714674120,59444.1185848586,77153,16514.8230677115,979517486.796614,10218.3840368848,606115606.014058,1896.95997235175,112547655.059079,1614.96178948,95829996.832571
HOUR,1714676400,267,cadli,BTC-USD,59444.1185848586,59444.1185848586,59091.2965934198,59401.3983999028,1714676400,1714679999,59443.3020386691,59443.7189806824,1714676401,59091.2965934198,1714678651,59401.3983999028,74957,14734.9115341854,872810510.231864,9625.53166153234,570164054.5413,1713.32216438115,101445917.415405,1503.73791762,89037617.6107997
HOUR,1714680000,267,cadli,BTC-USD,59401.3983999028,59470.8442902216,58735.5565885601,58787.3881787827,1714680000,1714683599,59401.1195961572,59470.8442902216,1714680829,58735.5565885601,1714682469,58787.3881787827,74465,18741.4202381575,1107228489.16548,11286.857897974,666892231.325028,2308.15847868382,136305343.929957,1939.31919785,114536664.659261
HOUR,1714683600,267,cadli,BTC-USD,58787.3881787827,59621.5211155461,58771.8755710523,59159.4571662827,1714683600,1714687199,58787.3866669869,59621.5211155461,1714685873,58771.8755710523,1714683609,59159.4571662827,68243,14093.3609002626,833839647.800202,7407.57918755739,438239905.660834,1249.73352292229,73890910.7235549,954.35589854,56414825.6798162
HOUR,1714687200,267,cadli,BTC-USD,59159.4571662827,59490.8618641364,59127.6188804445,59380.9830982866,1714687200,1714690799,59159.4569709422,59490.8618641364,1714690519,59127.6188804445,1714687232,59380.9830982866,66267,12358.2446129589,733444566.755381,7625.25637570399,452572640.587606,1175.76848171605,69742918.0679345,952.70638275,56513927.378783
HOUR,1714690800,267,cadli,BTC-USD,59380.9830982866,59429.7400961946,59125.1271159858,59125.370597207,1714690800,1714694399,59380.9837527249,59429.7400961946,1714690921,59125.1271159858,1714694399,59125.370597207,58769,8826.99628102249,523256164.774688,5321.88652466905,315503050.794684,608.629505711536,36050747.2257664,470.20822532,27852770.2514312
HOUR,1714694400,267,cadli,BTC-USD,59125.370597207,59173.8700290487,58871.8865465366,59091.8482528845,1714694400,1714697999,59125.3217519891,59173.8700290487,1714695022,58871.8865465366,1714696399,59091.8482528845,63356,12520.9134337879,739349933.489835,7054.01913275734,416585990.876533,913.728255369222,53914447.1329494,692.38223872,40858096.1504485
HOUR,1714698000,267,cadli,BTC-USD,59091.8482528845,59545.0947633978,59061.636872569,59369.9860694328,1714698000,1714701599,59091.8470848451,59545.0947633978,1714700192,59061.636872569,1714698042,59369.9860694328,70000,13968.8635375308,829758302.92458,8036.42830910647,477429982.569949,1425.88259532319,84638738.8960492,1213.44728969,72029806.7097263
HOUR,1714701600,267,cadli,BTC-USD,59369.9860694328,59947.9530254703,59323.5895596426,59609.3655929896,1714701600,1714705199,59369.9858020356,59947.9530254703,1714702563,59323.5895596426,1714701711,59609.3655929896,74668,16201.304427491,967375001.398842,8978.35942586773,536120623.299413,1517.47390533709,90533243.4007234,1214.0201534,72429391.3460069
HOUR,1714705200,267,cadli,BTC-USD,59609.3655929896,60055.4339858669,59580.9558191733,59793.411723558,1714705200,1714708799,59609.3396719687,60055.4339858669,1714706406,59580.9558191733,1714705261,59793.411723558,73281,15818.584893093,947686331.919345,8467.93500070967,507505688.494612,1186.08662745203,70949042.270069,861.82422204,51556496.3460374
HOUR,1714708800,267,cadli,BTC-USD,59793.411723558,59898.5517630165,59615.2549172959,59664.0279233173,1714708800,1714712399,59793.3964420098,59898.5517630165,1714709791,59615.2549172959,1714711605,59664.0279233173,61676,9010.62933248508,538643602.186037,4942.9778911759,295537459.508508,762.230586276454,45509117.2615302,596.99977437,35645135.2933437
HOUR,1714712400,267,cadli,BTC-USD,59664.0279233173,59685.5253072878,59535.6250786213,59592.7824432401,1714712400,1714715999,59664.0269094697,59685.5253072878,1714714662,59535.6250786213,1714713310,59592.7824432401,56269,8734.19245458426,520937509.72438,4777.9523296595,285040225.219245,747.513447762072,44529021.4493423,569.05510259,33898838.2431571
HOUR,1714716000,267,cadli,BTC-USD,59592.7824432401,59637.9599403505,59313.1140384839,59327.8004514291,1714716000,1714719599,59592.7753017188,59637.9599403505,1714716267,59313.1140384839,1714719411,59327.8004514291,59321,10215.0976399054,607663616.012975,5680.84317508599,337973719.795509,810.959357909045,48200921.0284633,600.87836339,35715951.5599945
HOUR,1714719600,267,cadli,BTC-USD,59327.8004514291,59484.2598529766,59141.8469564486,59241.4021798687,1714719600,1714723199,59327.7931504416,59484.2598529766,1714720352,59141.8469564486,1714722649,59241.4021798687,64939,13769.9309601424,817079471.99664,7174.42604428908,425797898.750845,1340.92994392006,79537003.6194355,1019.31909864,60468780.5308601
HOUR,1714723200,267,cadli,BTC-USD,59241.4021798687,59435.2251288499,59190.0224967595,59280.8744445026,1714723200,1714726799,59241.4018350607,59435.2251288499,1714725538,59190.0224967595,1714723403,59280.8744445026,62076,8590.82253873476,509861525.932633,4987.88333892537,296075449.79797,685.792257793109,40663050.6405881,545.15938094,32324375.0231479
HOUR,1714726800,267,cadli,BTC-USD,59280.8744445026,59628.9965316577,59256.708116703,59537.0597399959,1714726800,1714730399,59280.8521085308,59628.9965316577,1714729735,59256.708116703,1714726827,59537.0597399959,60431,9476.94190748234,563762359.73582,5624.73588401449,334739073.066696,957.782358416626,56921077.8106266,782.51649009,46507471.9399941
HOUR,1714730400,267,cadli,BTC-USD,59537.0597399959,59542.2586765274,58926.767609105,59098.8348236413,1714730400,1714733999,59537.0354233438,59542.2586765274,1714730414,58926.767609105,1714733551,59098.8348236413,67249,13365.9870407311,791199807.477525,7579.81140553321,448831159.266867,1249.63623302709,73873755.3895613,980.05749379,57942307.9764775
HOUR,1714734000,267,cadli,BTC-USD,59098.8348236413,59464.5145685584,58938.0367376825,59340.7054536392,1714734000,1714737599,59098.9644519319,59464.5145685584,1714737374,58938.0367376825,1714734510,59340.7054536392,65411,12599.0984020828,745327008.018123,7358.87457188234,435354585.137067,1185.35255491639,70056456.5609996,940.70814738,55593518.5906066
HOUR,1714737600,267,cadli,BTC-USD,59340.7054536392,60797.7829761649,59065.4746519738,60706.8497145429,1714737600,1714741199,59340.705168125,60797.7829761649,1714740933,59065.4746519738,1714738661,60706.8497145429,69000,50023.3100973221,3009343433.83232,26425.6110597961,1589687313.04058,5210.36467790396,313229279.629174,3991.59276719,239886156.654699
HOUR,1714741200,267,cadli,BTC-USD,60706.8497145429,61807.0956774007,60603.0881542907,61755.1956120426,1714741200,1714744799,60706.8482058609,61807.0956774007,1714744099,60603.0881542907,1714741231,61755.1956120426,90004,60340.2693643353,3702779836.36782,32007.0848304423,1965287665.60466,6651.51174046042,407795783.447703,5197.84983495,318758220.09075
HOUR,1714744800,267,cadli,BTC-USD,61755.1956120426,62127.8768869265,61468.5978379256,61709.8499590256,1714744800,1714748399,61755.1856922923,62127.8768869265,1714744962,61468.5978379256,1714746090,61709.8499590256,88856,38284.6578425867,2365965542.89917,21729.0490529679,1343096776.78953,4004.37483955034,247178713.878633,3217.47597389,198623120.453904
HOUR,1714748400,267,cadli,BTC-USD,61709.8499590256,61871.7230103024,61436.6542955094,61772.6976468682,1714748400,1714751999,61709.8495032592,61871.7230103024,1714751831,61436.6542955094,1714750236,61772.6976468682,80053,23899.435154188,1472717398.55385,12289.6877133164,757468072.426885,2095.87683589384,129040398.97884,1589.44726896,97876617.8189666
HOUR,1714752000,267,cadli,BTC-USD,61772.6976468682,62221.0083451281,61642.7724876824,61773.0802907197,1714752000,1714755599,61773.144057755,62221.0083451281,1714754403,61642.7724876824,1714755227,61773.0802907197,74877,22426.8640531757,1388528373.09073,12602.852775874,780357662.088142,2327.55702219034,144004977.013995,1952.17734301,120786819.313984
HOUR,1714755600,267,cadli,BTC-USD,61773.0802907197,62039.4035028102,61641.4003276415,61898.2765812986,1714755600,1714759199,61773.1365864418,62039.4035028102,1714758075,61641.4003276415,1714755996,61898.2765812986,65005,12442.7743806354,769486894.821695,7006.19241361916,433341699.828036,1550.73296470448,95839262.4685438,1352.60017873,83597062.2759234
HOUR,1714759200,267,cadli,BTC-USD,61898.2765812986,62069.6229193019,61793.7068949415,61910.5177983943,1714759200,1714762799,61899.2118330408,62069.6229193019,1714760120,61793.7068949415,1714761024,61910.5177983943,58587,9923.93633340286,614135152.660549,5769.86285656284,357071419.469704,1104.22668577943,68300241.512569,939.84587863,58133788.2653519
HOUR,1714762800,267,cadli,BTC-USD,61910.5177983943,62174.6829111412,61685.412494999,62161.9760140497,1714762800,1714766399,61911.6029670001,62174.6829111412,1714766394,61685.412494999,1714764039,62161.9760140497,68449,15520.2900341935,959740107.941831,9501.10239275524,587499234.600767,2674.90315570366,165291969.092231,2428.87084868,150085304.37076
HOUR,1714766400,267,cadli,BTC-USD,62161.9760140497,63273.1114400406,62072.7898634563,62984.2194583593,1714766400,1714769999,62161.9783482268,63273.1114400406,1714769412,62072.7898634563,1714766578,62984.2194583593,91264,34204.9877146753,2146409617.86467,17927.9178298837,1125119430.8172,3609.11940941892,226258162.730585,2900.30756507,181810659.77672
HOUR,1714770000,267,cadli,BTC-USD,62984.2194583593,63040.3200331397,62468.1576566253,62828.217545209,1714770000,1714773599,62984.1989626334,63040.3200331397,1714770146,62468.1576566253,1714772210,62828.217545209,70088,14231.1386367365,893326906.077823,7145.5040586174,448835161.662906,1263.46422024816,79192821.6620746,990.83443275,62114588.901025
HOUR,1714773600,267,cadli,BTC-USD,62828.217545209,63098.5740646127,62752.8605875219,62891.1299446213,1714773600,1714777199,62828.7934712822,63098.5740646127,1714775748,62752.8605875219,1714774337,62891.1299446213,68957,14408.2609440038,907273027.890129,7735.26305558488,487265499.799467,1304.71205397865,82033515.3654438,1052.61306052,66188174.0700092
HOUR,1714777200,267,cadli,BTC-USD,62891.1299446213,63403.9421799567,62876.4281466004,62977.0583829764,1714777200,1714780799,62891.1505059811,63403.9421799567,1714779039,62876.4281466004,1714777277,62977.0583829764,68799,13644.6007101512,861133687.882443,6775.3557554548,427803644.01818,1182.02651829488,74521092.2141943,906.89659421,57184557.519874
HOUR,1714780800,267,cadli,BTC-USD,62977.0583829764,63263.7356970494,62858.9616070021,63183.969027205,1714780800,1714784399,62977.057419728,63263.7356970494,1714783861,62858.9616070021,1714782326,63183.969027205,63331,10416.4534502668,657057302.21373,5010.43751466723,316295386.252429,901.71298291898,56767798.4853221,678.23364702,42700253.2818455
HOUR,1714784400,267,cadli,BTC-USD,63183.969027205,63640.2072848933,62921.3608398833,62961.061057869,1714784400,1714787999,63183.8443601823,63640.2072848933,1714786201,62921.3608398833,1714784832,62961.061057869,71755,18676.8490249565,1180693061.64958,8791.21735452728,556183159.797044,1795.53204013964,113396867.883387,1402.38495568,88572693.916862
HOUR,1714788000,267,cadli,BTC-USD,62961.061057869,62995.9583457747,62650.5954345996,62779.5943741816,1714788000,1714791599,62960.1858974068,62995.9583457747,1714788084,62650.5954345996,1714790206,62779.5943741816,60374,11633.1708272321,731453581.7256,5725.17198168873,360364295.850533,957.579142302254,60061588.1572491,711.47825315,44628807.7939348
HOUR,1714791600,267,cadli,BTC-USD,62779.5943741816,62951.9751400726,62747.9873032721,62804.4409416263,1714791600,1714795199,62779.5939739847,62951.9751400726,1714793277,62747.9873032721,1714793882,62804.4409416263,50834,7333.26717236511,460755799.044275,3600.06727527241,226285382.764342,659.771468758911,41396483.9271241,507.7302332,31855158.67027
HOUR,1714795200,267,cadli,BTC-USD,62804.4409416263,63255.2904998088,62775.9123389218,63145.8057878512,1714795200,1714798799,62804.4414219207,63255.2904998088,1714798047,62775.9123389218,1714795393,63145.8057878512,57272,11610.9570088008,731303190.016132,5678.09656664289,357771747.208148,886.257025592167,55759854.6726926,661.03144643,41591053.8397032
HOUR,1714798800,267,cadli,BTC-USD,63145.8057878512,63517.0410872088,63044.992861777,63472.0334956014,1714798800,1714802399,63145.8057281101,63517.0410872088,1714802361,63044.992861777,1714799235,63472.0334956014,61338,10649.8016987999,673595821.928313,5478.44001845721,346569586.510396,841.268378321403,53165621.382859,656.78708289,41509441.8354463
HOUR,1714802400,267,cadli,BTC-USD,63472.0334956014,63473.9508725403,62996.3756757476,63050.0588104422,1714802400,1714805999,63471.9427724909,63473.9508725403,1714802405,62996.3756757476,1714805857,63050.0588104422,56712,8993.44352591479,568411482.592385,4513.24285672168,285343437.457612,663.451732780989,41894309.0825704,514.91716429,32518731.2292723
HOUR,1714806000,267,cadli,BTC-USD,63050.0588104422,63204.2432055949,62973.2778045343,63044.1553076418,1714806000,1714809599,63050.0354828716,63204.2432055949,1714808249,62973.2778045343,1714806770,63044.1553076418,53294,8118.55208092796,511978646.522888,4304.64897360581,271538877.229688,772.895634818289,48712500.5773023,634.58933547,39999718.469066
