UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_MESSAGE_TIMESTAMP,LAST_MESSAGE_TIMESTAMP,FIRST_MESSAGE_VALUE,HIGH_MESSAGE_VALUE,HIGH_MESSAGE_TIMESTAMP,LOW_MESSAGE_VALUE,LOW_MESSAGE_TIMESTAMP,LAST_MESSAGE_VALUE,TOTAL_INDEX_UPDATES,VOLUME,QUOTE_VOLUME,VOLUME_TOP_TIER,QUOTE_VOLUME_TOP_TIER,VOLUME_DIRECT,QUOTE_VOLUME_DIRECT,VOLUME_TOP_TIER_DIRECT,QUOTE_VOLUME_TOP_TIER_DIRECT
HOUR,1714665600,267,cadli,ETH-USD,2992.12217015184,2996.3186493514,2979.85002165325,2983.61534505619,1714665600,1714669199,2992.1187053478,2996.3186493514,1714667400,2979.85002165325,1714668410,2983.61534505619,57141,120977.739807659,361392556.728692,81260.0937043534,242726678.088868,14672.4119948694,43820315.6005092,14539.19109266,43421407.5674695
HOUR,1714669200,267,cadli,ETH-USD,2983.61534505619,3000.10572117982,2978.8931314802,2995.1421033217,1714669200,1714672799,2983.62652867652,3000.10572117982,1714670579,2978.8931314802,1714669591,2995.1421033217,57165,93820.3850735724,280529382.289401,63818.4733068502,190813107.567317,10867.4562268535,32481920.4562682,10718.38603488,32035250.0565443
HOUR,1714672800,267,cadli,ETH-USD,2995.1421033217,3006.15085341098,2976.42094074061,2994.49763157934,1714672800,1714676399,2995.14184465567,3006.15085341098,1714675788,2976.42094074061,1714674113,2994.49763157934,60567,132081.560279267,395182688.423848,89001.7555251106,266249091.527799,13372.5484253483,39983191.6788368,13222.89325901,39534742.7368989
HOUR,1714676400,267,cadli,ETH-USD,2994.49763157934,3002.01760259085,2984.37494371549,3001.67620725933,1714676400,1714679999,2994.48735820016,3002.01760259085,1714679995,2984.37494371549,1714677321,3001.67620725933,56016,85804.7576289189,256648062.007791,59623.9944655159,178322211.730326,10301.0485106883,30796440.2702786,10174.72131293,30417698.8595437
HOUR,1714680000,267,cadli,ETH-USD,3001.67620725933,3003.60282048477,2974.00220100597,2988.55396347577,1714680000,1714683599,3001.67458273557,3003.60282048477,1714680828,2974.00220100597,1714682470,2988.55396347577,56844,129016.724502564,385665064.153556,86868.2248929314,259660381.98898,13556.4787407654,40519064.6450052,13434.28203476,40153332.5236304
HOUR,1714683600,267,cadli,ETH-USD,2988.55396347577,3015.91052061318,2987.59970118086,2998.11740310382,1714683600,1714687199,2988.55348400478,3015.91052061318,1714686005,2987.59970118086,1714683609,2998.11740310382,50593,96993.4955059715,291056978.07834,60195.3930403666,180640988.935883,7517.801691469,22546516.5299404,7387.96083443,22156853.1800434
HOUR,1714687200,267,cadli,ETH-USD,2998.11740310382,3015.97021983537,2993.56896910706,2999.62848505078,1714687200,1714690799,2998.11748363015,3015.97021983537,1714687711,2993.56896910706,1714689342,2999.62848505078,53371,106163.901736182,318932687.57847,73291.4079371709,220159622.193393,10977.8524277412,32954107.3168097,10731.81353319,32214919.0888842
HOUR,1714690800,267,cadli,ETH-USD,2999.62848505078,3001.01595752662,2987.25787266737,2988.75558209595,1714690800,1714694399,2999.62916138413,3001.01595752662,1714690991,2987.25787266737,1714692930,2988.75558209595,44978,60627.706839268,181510580.020387,39665.0317220577,118735294.395058,5930.92303645801,17740683.794283,5838.6367244,17464341.5483544
HOUR,1714694400,267,cadli,ETH-USD,2988.75558209595,2996.31715535703,2980.4167674857,2985.96778451068,1714694400,1714697999,2988.75091979264,2996.31715535703,1714695381,2980.4167674857,1714696863,2985.96778451068,48357,81295.1805759941,242931381.069026,51710.6878034997,154502397.703125,8365.34213905791,24973073.1431761,8278.4222895,24712950.517462
HOUR,1714698000,267,cadli,ETH-USD,2985.96778451068,3016.51298741035,2984.01549832394,3009.5237170066,1714698000,1714701599,2985.96785385695,3016.51298741035,1714700405,2984.01549832394,1714698064,3009.5237170066,56432,124528.432110611,374483067.941688,85252.1243415612,256338341.872806,16634.6150089659,50005266.5918459,16475.68344136,49525978.6590069
