timestamp,transaction_count,total_value_transferred_btc,avg_fee_btc,total_size_used_mb
2024-03-01 00:00:00,19128,45836.3439,0.00014931,12.3026
2024-03-01 01:00:00,20342,25655.0604,0.00011306,14.6744
2024-03-01 02:00:00,15213,99651.9032,0.00013606,9.7984
2024-03-01 03:00:00,16879,34767.7652,0.00010439,12.1912
2024-03-01 04:00:00,20392,54253.1388,9.31e-05,12.1804
2024-03-01 05:00:00,26561,22052.3084,8.179e-05,15.4412
2024-03-01 06:00:00,5893,28130.6554,0.0001364,3.4159
2024-03-01 07:00:00,15116,49223.8169,0.00019175,9.5314
2024-03-01 08:00:00,9083,34943.8422,0.00016751,4.5688
2024-03-01 09:00:00,12496,36594.6553,0.00013953,6.4383
2024-03-01 10:00:00,16732,51166.1783,0.00016879,9.8715
2024-03-01 11:00:00,24556,40859.3071,0.00010164,13.9912
2024-03-01 12:00:00,26213,33058.1174,0.00010287,19.6858
2024-03-01 13:00:00,3241,10664.7884,0.00024258,1.5478
2024-03-01 14:00:00,27591,98237.7025,0.00015348,18.1645
2024-03-01 15:00:00,16844,64907.8311,0.00017104,9.9612
2024-03-01 16:00:00,27256,61047.2561,0.00012713,19.8886
2024-03-01 17:00:00,20603,55747.2175,0.00011734,11.6256
2024-03-01 18:00:00,22529,64475.2897,0.00012565,13.0958
2024-03-01 19:00:00,9490,40751.2489,0.00012726,6.7242
2024-03-01 20:00:00,12430,66052.7386,0.00014572,6.4858
2024-03-01 21:00:00,17804,87747.0535,0.00018135,9.6997
2024-03-01 22:00:00,11872,30775.652,0.0003311,9.3095
2024-03-01 23:00:00,20866,47066.9932,0.00020709,13.5182
2024-03-02 00:00:00,11320,34312.8496,0.00014412,8.6299
2024-03-02 01:00:00,8824,22129.3064,0.00018043,4.85
2024-03-02 02:00:00,13425,28842.0145,0.00013589,8.2465
2024-03-02 03:00:00,13910,21644.0166,0.00013683,9.7867
2024-03-02 04:00:00,11985,18914.6335,0.00011611,8.491
2024-03-02 05:00:00,19498,17004.8109,9.51e-05,14.4654
2024-03-02 06:00:00,9216,11801.2285,0.00012082,4.9832
2024-03-02 07:00:00,17154,17561.0277,0.00011949,14.1956
2024-03-02 08:00:00,8647,22383.8994,0.00011079,4.8473
2024-03-02 09:00:00,15895,21189.0296,0.00010348,8.1984
2024-03-02 10:00:00,15501,18830.437,0.00010476,9.8586
2024-03-02 11:00:00,15611,18030.3318,9.369e-05,8.8858
2024-03-02 12:00:00,25830,47203.7443,8.783e-05,17.9896
2024-03-02 13:00:00,14825,24184.0363,9.416e-05,10.1993
2024-03-02 14:00:00,12504,30501.3159,0.00010353,6.4341
2024-03-02 15:00:00,9703,31828.9832,0.000132,4.7917
2024-03-02 16:00:00,10120,27177.7302,0.00013978,6.2934
2024-03-02 17:00:00,13917,30499.8805,0.00022004,10.5415
2024-03-02 18:00:00,21622,32847.6162,0.00011289,11.1236
2024-03-02 19:00:00,11776,20667.1323,0.00012288,6.4097
2024-03-02 20:00:00,17243,30229.9891,0.00014235,10.2807
2024-03-02 21:00:00,8380,9144.68,0.0001499,5.8552
2024-03-02 22:00:00,24281,46110.1354,0.00014373,16.5573
2024-03-02 23:00:00,7997,13463.9642,0.00014436,5.6642
2024-03-03 00:00:00,19676,59206.8813,0.00010869,13.0826
2024-03-03 01:00:00,22227,33561.4524,8.828e-05,16.3833
2024-03-03 02:00:00,14117,13434.7112,0.00010044,13.1402
2024-03-03 03:00:00,19134,20231.8472,8.767e-05,14.6479
2024-03-03 04:00:00,12324,35487.6043,0.00013701,13.0504
2024-03-03 05:00:00,10322,12585.1901,0.00010423,8.6041
2024-03-03 06:00:00,18659,29181.674,8.945e-05,13.6032
2024-03-03 07:00:00,18943,33180.2433,9.289e-05,14.5353
2024-03-03 08:00:00,18019,55798.7672,0.00017029,21.62
2024-03-03 09:00:00,15423,28532.8922,8.41e-05,8.3721
2024-03-03 10:00:00,15208,17539.6202,0.00011364,13.0136
2024-03-03 11:00:00,17207,17124.4236,9.399e-05,13.5721
2024-03-03 12:00:00,17262,33563.4711,8.744e-05,12.6559
2024-03-03 13:00:00,12781,21284.7421,0.00012079,8.9765
2024-03-03 14:00:00,28136,37337.3043,9.92e-05,23.0929
2024-03-03 15:00:00,8088,15683.6117,0.00012522,6.0202
2024-03-03 16:00:00,5861,22793.1148,0.00015225,3.2827
2024-03-03 17:00:00,14835,39500.2482,0.0002052,11.4209
2024-03-03 18:00:00,12103,21753.68,0.00020094,9.4209
2024-03-03 19:00:00,8196,10450.9415,0.00019745,4.9304
2024-03-03 20:00:00,35485,27476.9009,0.0001378,28.387
2024-03-03 21:00:00,21918,19368.6264,9.099e-05,15.7884
2024-03-03 22:00:00,7764,14920.3604,0.00021348,5.0219
2024-03-03 23:00:00,11604,16032.0439,0.00014228,7.2199
2024-03-04 00:00:00,2533,22037.5023,0.00024767,1.6579
2024-03-04 01:00:00,8540,20687.8016,0.00020836,5.1123
2024-03-04 02:00:00,11399,42048.7785,0.00021245,6.5846
2024-03-04 03:00:00,9663,20376.5991,0.00018932,5.0558
2024-03-04 04:00:00,18061,52916.26,0.00019412,9.8503
2024-03-04 05:00:00,15191,32303.4854,0.0001814,9.6406
2024-03-04 06:00:00,21992,42229.078,0.00016516,13.9353
2024-03-04 07:00:00,24716,36142.0533,0.00015423,16.1541
2024-03-04 08:00:00,15183,24579.8928,0.00015851,9.033
2024-03-04 09:00:00,21490,28030.9784,0.00015763,11.6995
2024-03-04 10:00:00,17257,39813.3709,0.00017184,10.2014
2024-03-04 11:00:00,10614,21572.7033,0.00014744,5.25
2024-03-04 12:00:00,24245,75038.5704,0.00019968,15.459
2024-03-04 13:00:00,16962,54671.5032,0.00017762,8.546
2024-03-04 14:00:00,23874,95424.6711,0.0001958,14.4903
2024-03-04 15:00:00,8375,89577.7358,0.00033931,8.661
2024-03-04 16:00:00,8538,38168.0108,0.000207,4.9928
2024-03-04 17:00:00,5077,45084.7656,0.00037049,3.2551
2024-03-04 18:00:00,8578,59855.8353,0.00035041,4.9874
2024-03-04 19:00:00,23651,85617.264,0.00031148,14.4128
2024-03-04 20:00:00,16977,59867.8698,0.00032451,11.667
2024-03-04 21:00:00,19317,110249.966,0.00032363,12.2364
2024-03-04 22:00:00,5431,20290.7483,0.00036508,3.4196
2024-03-04 23:00:00,23465,101835.5119,0.00038235,18.1334
2024-03-05 00:00:00,20130,50896.7026,0.00039897,19.9469
2024-03-05 01:00:00,4628,10180.5788,0.00036263,4.1724
2024-03-05 02:00:00,19663,92922.4084,0.00038949,15.4466
2024-03-05 03:00:00,10356,20494.3444,0.00033198,6.8969
2024-03-05 04:00:00,31201,116162.4679,0.0002212,18.5151
2024-03-05 05:00:00,17334,33171.5182,0.00021488,10.2857
2024-03-05 06:00:00,19918,52795.4974,0.00034975,21.3565
