timestamp,transaction_count,total_value_transferred_doge,avg_fee_doge,total_size_used_bytes
2024-01-01 00:00:00,13021,804216709.38,0.132686,5081078
2024-01-01 01:00:00,17066,173977075.54,0.137607,6442815
2024-01-01 02:00:00,19228,259156397.02,0.122634,7703853
2024-01-01 03:00:00,21466,194799242.06,0.132953,8576009
2024-01-01 04:00:00,24520,186216848.05,0.120234,10150482
2024-01-01 05:00:00,30826,422553628.49,0.102002,11339185
2024-01-01 06:00:00,21969,263743456.35,0.152243,9936037
2024-01-01 07:00:00,15901,232605756.73,0.209847,6317226
2024-01-01 08:00:00,16412,496843566.62,0.195638,6525712
2024-01-01 09:00:00,14006,374190924.61,0.218231,5758015
2024-01-01 10:00:00,27338,523334716.9,0.120715,10296757
2024-01-01 11:00:00,19005,508861049.64,0.19741,7930183
2024-01-01 12:00:00,24536,716172920.45,0.16078,9935903
2024-01-01 13:00:00,26007,415564837.62,0.14532,9703135
2024-01-01 14:00:00,32166,641774469.58,0.142487,12117633
2024-01-01 15:00:00,30424,620801228.71,0.162601,11976385
2024-01-01 16:00:00,48794,658663399.6,0.137621,18024359
2024-01-01 17:00:00,43260,506776821.14,0.125746,16990335
2024-01-01 18:00:00,27256,537657626.7,0.145108,11521696
2024-01-01 19:00:00,20346,533931832.0,0.112089,7547474
2024-01-01 20:00:00,14258,468730493.82,0.097609,6756293
2024-01-01 21:00:00,18079,273851114.75,0.092295,7875793
2024-01-01 22:00:00,31527,246901571.81,0.055397,11861576
2024-01-01 23:00:00,36118,517354897.35,0.046943,13869176
2024-01-02 00:00:00,16358,670406078.24,0.088933,6952453
2024-01-02 01:00:00,26107,385814582.57,0.066794,9098539
2024-01-02 02:00:00,22470,653895460.07,0.06984,8676957
2024-01-02 03:00:00,25699,297396836.09,0.0643,9827491
2024-01-02 04:00:00,22296,731196355.55,0.079297,8497546
2024-01-02 05:00:00,31810,441351280.44,0.056855,11504258
2024-01-02 06:00:00,39298,380168712.11,0.04428,13543899
2024-01-02 07:00:00,42607,417951539.13,0.04339,14800442
2024-01-02 08:00:00,29984,1204600733.0,0.05601,10629460
2024-01-02 09:00:00,18821,598758898.75,0.084005,6786210
2024-01-02 10:00:00,32335,810164931.57,0.060642,11299040
2024-01-02 11:00:00,39382,513058996.19,0.064602,13832681
2024-01-02 12:00:00,76447,677444352.29,0.031856,24232396
2024-01-02 13:00:00,40479,490771670.0,0.046876,14226972
2024-01-02 14:00:00,40761,672055488.2,0.051197,14356212
2024-01-02 15:00:00,48156,969121326.69,0.053296,17704071
2024-01-02 16:00:00,43010,584423187.99,0.049214,14819975
2024-01-02 17:00:00,47018,788115255.02,0.046841,15923415
2024-01-02 18:00:00,72802,565179561.78,0.029308,23560642
2024-01-02 19:00:00,20694,526289185.36,0.07679,7192369
2024-01-02 20:00:00,12049,483602196.45,0.108947,4299579
2024-01-02 21:00:00,13773,623773699.39,0.100829,5022533
2024-01-02 22:00:00,24121,487631539.06,0.067076,8541503
2024-01-02 23:00:00,23658,506455496.23,0.058606,8060460
2024-01-03 00:00:00,45865,567075648.79,0.046057,16001723
2024-01-03 01:00:00,29380,257161704.67,0.065894,11097879
2024-01-03 02:00:00,57331,496562481.85,0.036058,18472743
2024-01-03 03:00:00,26259,442353175.18,0.063547,8961462
2024-01-03 04:00:00,22836,405888963.27,0.060272,7961451
2024-01-03 05:00:00,74861,294055649.9,0.023695,23101839
2024-01-03 06:00:00,34781,246971814.88,0.043881,11010131
2024-01-03 07:00:00,20836,645965783.73,0.069257,7474419
2024-01-03 08:00:00,44640,778540737.18,0.039579,14731323
2024-01-03 09:00:00,40519,623032358.46,0.047369,13433973
2024-01-03 10:00:00,50821,770110139.52,0.035365,17042165
2024-01-03 11:00:00,36810,837686212.91,0.045801,12598186
2024-01-03 12:00:00,21915,1122339646.13,0.106463,8233503
2024-01-03 13:00:00,65329,754479530.16,0.044622,21815631
2024-01-03 14:00:00,38847,1130297410.2,0.056703,13409620
2024-01-03 15:00:00,25671,1038765068.69,0.0822,9711227
2024-01-03 16:00:00,27984,1034807476.01,0.068556,10294119
2024-01-03 17:00:00,22344,691916357.37,0.077469,8010424
2024-01-03 18:00:00,15723,1108657169.07,0.090276,5547800
2024-01-03 19:00:00,16541,1063846066.73,0.083046,6052110
2024-01-03 20:00:00,15697,423740594.54,0.085947,5567769
2024-01-03 21:00:00,13682,673724826.3,0.097468,5143718
2024-01-03 22:00:00,16219,350496270.1,0.089478,6072560
2024-01-03 23:00:00,12547,538675281.96,0.093772,4758873
2024-01-04 00:00:00,51211,613734207.3,0.040724,17572678
2024-01-04 01:00:00,35031,289979918.69,0.077838,14647394
2024-01-04 02:00:00,65205,310112486.71,0.031503,20832395
2024-01-04 03:00:00,62542,358246725.47,0.029439,19628970
2024-01-04 04:00:00,35265,777134178.31,0.052125,13285914
2024-01-04 05:00:00,37934,222254479.71,0.054431,14033216
2024-01-04 06:00:00,45714,1401364482.55,0.036975,14629784
2024-01-04 07:00:00,36234,405239598.34,0.040573,12916975
2024-01-04 08:00:00,12253,599422507.48,0.124435,4503574
2024-01-04 09:00:00,10177,482201979.86,0.146427,3704521
2024-01-04 10:00:00,10030,586460426.31,0.153198,3792797
2024-01-04 11:00:00,20676,414791328.22,0.088093,7329251
2024-01-04 12:00:00,35115,542516927.81,0.060903,12500804
2024-01-04 13:00:00,47509,336552763.14,0.045907,16922869
2024-01-04 14:00:00,25935,3683548293.13,0.117314,11206419
2024-01-04 15:00:00,68884,627934375.91,0.041953,22939228
2024-01-04 16:00:00,60173,721344747.89,0.037329,20178942
2024-01-04 17:00:00,75954,453647341.81,0.029819,24337520
2024-01-04 18:00:00,57216,511062647.48,0.031172,18196763
2024-01-04 19:00:00,87085,468976480.05,0.025878,27166670
2024-01-04 20:00:00,18832,778576048.45,0.085969,7105377
2024-01-04 21:00:00,16103,624477917.45,0.091875,5976963
2024-01-04 22:00:00,9583,447585664.64,0.143755,3634185
2024-01-04 23:00:00,10770,510042372.3,0.135624,4372424
2024-01-05 00:00:00,52672,765444586.07,0.030629,17169491
2024-01-05 01:00:00,22116,299227225.73,0.06693,7917221
2024-01-05 02:00:00,47651,361468852.21,0.043985,16180120
2024-01-05 03:00:00,45886,376321704.19,0.041456,14955966
2024-01-05 04:00:00,44588,360714219.87,0.03791,14780157
2024-01-05 05:00:00,96253,234465347.47,0.022151,29988924
2024-01-05 06:00:00,76456,558570701.39,0.025618,24021632
2024-01-05 07:00:00,69401,325557323.3,0.030129,22295097
2024-01-05 08:00:00,12021,594204532.65,0.136948,4487803
2024-01-05 09:00:00,13708,327193805.1,0.120644,4978983
2024-01-05 10:00:00,27665,699200268.98,0.066908,9341378
2024-01-05 11:00:00,31682,310261408.34,0.052622,10444234
2024-01-05 12:00:00,15174,452244615.21,0.102203,5531021
2024-01-05 13:00:00,51212,405471549.25,0.042313,16423457
2024-01-05 14:00:00,18868,359427637.21,0.104168,7610669
2024-01-05 15:00:00,24142,529304475.51,0.0739,8780247
2024-01-05 16:00:00,58642,543956730.04,0.036866,19407064
2024-01-05 17:00:00,22516,423527220.95,0.078559,8157927
2024-01-05 18:00:00,42434,172850920.88,0.045017,14000445
2024-01-05 19:00:00,85772,450362168.1,0.028754,27466293
2024-01-05 20:00:00,71511,268596803.11,0.027679,22919025
2024-01-05 21:00:00,55215,407656844.27,0.032092,17541925
2024-01-05 22:00:00,43306,160660944.6,0.041273,15127889
2024-01-05 23:00:00,26428,245951460.36,0.057117,9685124
2024-01-06 00:00:00,62711,290412681.7,0.027541,19525642
2024-01-06 01:00:00,59845,192944815.13,0.033336,20185717
2024-01-06 02:00:00,57874,239229102.64,0.031526,21044367
2024-01-06 03:00:00,47701,109949965.8,0.035833,15876069
2024-01-06 04:00:00,41504,383429302.65,0.038216,13959998
