timestamp,transaction_count,successful_transaction_count,total_fee_sol,avg_fee_sol
2024-01-01 00:00:00,10859707,9516552,245.5502,2.261e-05
2024-01-01 01:00:00,11789083,10385743,171.5569,1.455e-05
2024-01-01 02:00:00,12125755,10752669,148.6473,1.226e-05
2024-01-01 03:00:00,13129787,11951088,164.175,1.25e-05
2024-01-01 04:00:00,12725697,11561262,198.2328,1.558e-05
2024-01-01 05:00:00,14162880,13051527,163.4996,1.154e-05
2024-01-01 06:00:00,14908558,13815033,151.8229,1.018e-05
2024-01-01 07:00:00,14432019,13373906,177.4094,1.229e-05
2024-01-01 08:00:00,14537431,13520020,187.7226,1.291e-05
2024-01-01 09:00:00,13863292,12854878,154.6204,1.115e-05
2024-01-01 10:00:00,14508093,13565186,148.7915,1.026e-05
2024-01-01 11:00:00,14534776,13517956,134.7923,9.27e-06
2024-01-01 12:00:00,12730679,11401535,144.3002,1.133e-05
2024-01-01 13:00:00,12868526,11754974,180.1558,1.4e-05
2024-01-01 14:00:00,10637186,8948540,188.8923,1.776e-05
2024-01-01 15:00:00,10833651,9222352,193.3241,1.784e-05
2024-01-01 16:00:00,9990945,8486522,312.144,3.124e-05
2024-01-01 17:00:00,10229978,8602501,196.0426,1.916e-05
2024-01-01 18:00:00,10151887,8438253,236.0487,2.325e-05
2024-01-01 19:00:00,10011479,8293984,277.3978,2.771e-05
2024-01-01 20:00:00,9544711,7926017,238.5676,2.499e-05
2024-01-01 21:00:00,9762727,8102157,225.0278,2.305e-05
2024-01-01 22:00:00,9893702,8414191,179.7288,1.817e-05
2024-01-01 23:00:00,9452902,7957555,324.5693,3.434e-05
2024-01-02 00:00:00,9853037,8508875,286.5484,2.908e-05
2024-01-02 01:00:00,9902225,8699061,304.1116,3.071e-05
2024-01-02 02:00:00,10063354,8604394,235.7552,2.343e-05
2024-01-02 03:00:00,10393412,8924864,246.3553,2.37e-05
2024-01-02 04:00:00,9926094,8487312,207.0513,2.086e-05
2024-01-02 05:00:00,10103708,8632870,160.6988,1.59e-05
2024-01-02 06:00:00,10707300,9397108,132.3801,1.236e-05
2024-01-02 07:00:00,10702568,9271569,135.4327,1.265e-05
2024-01-02 08:00:00,10115457,8772603,128.3572,1.269e-05
2024-01-02 09:00:00,10279900,8998618,144.8883,1.409e-05
2024-01-02 10:00:00,9775347,8430509,176.0858,1.801e-05
2024-01-02 11:00:00,10841106,9587904,125.8946,1.161e-05
2024-01-02 12:00:00,10446489,9038037,152.6998,1.462e-05
2024-01-02 13:00:00,10033918,8538044,163.2257,1.627e-05
2024-01-02 14:00:00,9927865,8322906,179.8058,1.811e-05
2024-01-02 15:00:00,9448467,7922516,198.798,2.104e-05
2024-01-02 16:00:00,9889444,8391457,497.5587,5.031e-05
2024-01-02 17:00:00,9839549,8345368,259.8666,2.641e-05
2024-01-02 18:00:00,9721426,8158009,316.8541,3.259e-05
2024-01-02 19:00:00,9975111,8482550,301.4486,3.022e-05
2024-01-02 20:00:00,9610902,8215115,266.633,2.774e-05
2024-01-02 21:00:00,10280397,8489539,221.7111,2.157e-05
2024-01-02 22:00:00,9925053,8216682,216.4995,2.181e-05
2024-01-02 23:00:00,9834671,8027202,285.3456,2.901e-05
2024-01-03 00:00:00,9693332,8296486,194.6375,2.008e-05
2024-01-03 01:00:00,9678346,8166413,240.334,2.483e-05
2024-01-03 02:00:00,10141950,8697438,234.0148,2.307e-05
2024-01-03 03:00:00,10449981,8926310,182.1173,1.743e-05
2024-01-03 04:00:00,10118845,8500685,149.1024,1.474e-05
2024-01-03 05:00:00,10183415,8825430,157.3008,1.545e-05
2024-01-03 06:00:00,9823697,8416628,134.3246,1.367e-05
2024-01-03 07:00:00,9655680,8195316,120.4544,1.247e-05
2024-01-03 08:00:00,9994928,8312113,128.5422,1.286e-05
2024-01-03 09:00:00,10283541,8900652,173.2357,1.685e-05
2024-01-03 10:00:00,10656431,9403058,120.5813,1.132e-05
2024-01-03 11:00:00,10084646,8779693,132.8054,1.317e-05
2024-01-03 12:00:00,8292585,7367745,313.4559,3.78e-05
2024-01-03 13:00:00,9587232,8443447,161.3042,1.682e-05
2024-01-03 14:00:00,9558712,8317752,193.4453,2.024e-05
2024-01-03 15:00:00,9332464,7941852,178.045,1.908e-05
2024-01-03 16:00:00,9152783,7911229,149.7419,1.636e-05
2024-01-03 17:00:00,9579668,8330744,241.1964,2.518e-05
2024-01-03 18:00:00,9594059,8223848,166.7175,1.738e-05
2024-01-03 19:00:00,9610480,8223385,173.0586,1.801e-05
2024-01-03 20:00:00,9203926,7843890,252.9302,2.748e-05
2024-01-03 21:00:00,9451550,8116123,296.9276,3.142e-05
2024-01-03 22:00:00,9454621,8021044,174.7035,1.848e-05
2024-01-03 23:00:00,9384231,8042273,159.7959,1.703e-05
2024-01-04 00:00:00,9287620,8124388,168.4752,1.814e-05
2024-01-04 01:00:00,9298531,8019807,175.6899,1.889e-05
2024-01-04 02:00:00,9600868,8375532,140.5778,1.464e-05
2024-01-04 03:00:00,9347535,8269086,117.509,1.257e-05
2024-01-04 04:00:00,9581540,8302522,147.4183,1.539e-05
2024-01-04 05:00:00,9637632,8284601,126.0568,1.308e-05
2024-01-04 06:00:00,10011614,8551787,138.3835,1.382e-05
2024-01-04 07:00:00,9580263,8228517,147.2775,1.537e-05
2024-01-04 08:00:00,10034333,8669997,97.618,9.73e-06
2024-01-04 09:00:00,10227917,8742956,117.4248,1.148e-05
2024-01-04 10:00:00,10512493,9127192,118.7127,1.129e-05
2024-01-04 11:00:00,10417911,8981263,113.2026,1.087e-05
2024-01-04 12:00:00,10251687,8849605,143.1342,1.396e-05
2024-01-04 13:00:00,10000530,8662100,163.6131,1.636e-05
2024-01-04 14:00:00,9617385,8219515,171.9403,1.788e-05
2024-01-04 15:00:00,9829236,8494815,172.6131,1.756e-05
2024-01-04 16:00:00,9377039,8188958,254.5111,2.714e-05
2024-01-04 17:00:00,9231687,7989078,190.8757,2.068e-05
2024-01-04 18:00:00,9062528,7602401,204.8561,2.26e-05
2024-01-04 19:00:00,9680044,8379967,184.4968,1.906e-05
2024-01-04 20:00:00,9650894,8268818,207.1427,2.146e-05
2024-01-04 21:00:00,9128471,7647844,248.4748,2.722e-05
2024-01-04 22:00:00,9365590,7568576,219.0038,2.338e-05
2024-01-04 23:00:00,9714169,7851996,278.2297,2.864e-05
2024-01-05 00:00:00,9621011,8072521,242.3776,2.519e-05
2024-01-05 01:00:00,9495058,7899512,183.3375,1.931e-05
2024-01-05 02:00:00,9956411,8700199,191.9311,1.928e-05
2024-01-05 03:00:00,9892952,8333056,154.7666,1.564e-05
2024-01-05 04:00:00,9830602,8317141,190.298,1.936e-05
2024-01-05 05:00:00,10406868,8772401,191.5713,1.841e-05
2024-01-05 06:00:00,10544078,9018303,156.343,1.483e-05
2024-01-05 07:00:00,10516684,9096425,115.7116,1.1e-05
2024-01-05 08:00:00,9785560,8365258,136.8902,1.399e-05
2024-01-05 09:00:00,10051430,8562545,160.7152,1.599e-05
2024-01-05 10:00:00,9824681,8437965,119.4375,1.216e-05
2024-01-05 11:00:00,9721061,8426914,119.8892,1.233e-05
2024-01-05 12:00:00,9769485,8311506,169.5727,1.736e-05
2024-01-05 13:00:00,9703231,8241789,156.3578,1.611e-05
2024-01-05 14:00:00,9430577,8288468,183.9722,1.951e-05
2024-01-05 15:00:00,9692090,8496271,191.8333,1.979e-05
2024-01-05 16:00:00,9619865,8289636,238.2464,2.477e-05
2024-01-05 17:00:00,9739222,8602844,225.0337,2.311e-05
2024-01-05 18:00:00,9290277,7693285,282.562,3.041e-05
2024-01-05 19:00:00,9704985,8044420,293.9692,3.029e-05
2024-01-05 20:00:00,9750868,8090731,274.5798,2.816e-05
2024-01-05 21:00:00,9371933,7841686,199.985,2.134e-05
2024-01-05 22:00:00,9176248,7602136,190.2592,2.073e-05
2024-01-05 23:00:00,10069931,8494589,182.2413,1.81e-05
2024-01-06 00:00:00,9673638,8283305,188.1039,1.945e-05
2024-01-06 01:00:00,10642039,9167349,201.5739,1.894e-05
2024-01-06 02:00:00,11689647,10148366,239.3618,2.048e-05
2024-01-06 03:00:00,12527853,11020334,195.433,1.56e-05
2024-01-06 04:00:00,11806390,10460710,144.4498,1.223e-05
2024-01-06 05:00:00,10485649,9368637,147.8005,1.41e-05
2024-01-06 06:00:00,11196381,10086742,187.5134,1.675e-05
2024-01-06 07:00:00,10738259,9455964,187.0621,1.742e-05
2024-01-06 08:00:00,10709829,9417036,159.6067,1.49e-05
2024-01-06 09:00:00,12919823,11712569,121.7594,9.42e-06
2024-01-06 10:00:00,11271496,10062652,150.8795,1.339e-05
2024-01-06 11:00:00,11373565,10124639,120.6663,1.061e-05
2024-01-06 12:00:00,12124578,10824624,137.9111,1.137e-05
