timestamp,portfolio,scores,total_value
2024-11-26 00:00:00,"{'BTC': 0.0, 'ETH': 9.72885532860095, 'SOL': 0.0, 'DOGE': 33422.34760567707, 'USDT': 953333.3333333333}","{'BTC': -0.3, 'ETH': 0.5, 'SOL': -0.2, 'DOGE': 0.2, 'USDT': 0.8}",999943.4253
2024-11-26 01:00:00,"{'BTC': 0.0, 'ETH': 24.237900448859733, 'SOL': 0.0, 'DOGE': 74398.5785831729, 'USDT': 886634.8754726843}","{'BTC': -0.5, 'ETH': 0.6, 'SOL': -0.3, 'DOGE': 0.2, 'USDT': 0.4}",1000812.1688277705
2024-11-26 02:00:00,"{'BTC': 0.0, 'ETH': 33.91868668077004, 'SOL': 0.0, 'DOGE': 69934.66386818253, 'USDT': 855104.2198310506}","{'BTC': -0.5, 'ETH': 0.3, 'SOL': -0.3, 'DOGE': -0.1, 'USDT': 0.6}",1000637.5081239297
2024-11-26 03:00:00,"{'BTC': 0.0, 'ETH': 52.11713049852384, 'SOL': 0.0, 'DOGE': 57346.42437190967, 'USDT': 797711.3527492298}","{'BTC': 0.0, 'ETH': 0.5, 'SOL': 0.0, 'DOGE': -0.3, 'USDT': 0.3}",1000325.3336294561
2024-11-26 04:00:00,"{'BTC': 0.0, 'ETH': 70.37675663478177, 'SOL': 0.0, 'DOGE': 57346.42437190967, 'USDT': 735263.4844674639}","{'BTC': -0.2, 'ETH': 0.5, 'SOL': 0.0, 'DOGE': 0.0, 'USDT': 0.3}",999445.8369096017
2024-11-26 05:00:00,"{'BTC': 0.0, 'ETH': 88.59056988840037, 'SOL': 0.0, 'DOGE': 57346.42437190967, 'USDT': 672755.3443701564}","{'BTC': -0.3, 'ETH': 0.5, 'SOL': 0.0, 'DOGE': 0.0, 'USDT': 0.3}",1000427.9349239182
2024-11-26 06:00:00,"{'BTC': 0.0, 'ETH': 95.88717170266253, 'SOL': 0.0, 'DOGE': 57346.42437190967, 'USDT': 647775.1828260144}","{'BTC': -0.3, 'ETH': 0.2, 'SOL': -0.5, 'DOGE': 0.0, 'USDT': 0.6}",999602.8396748558
2024-11-26 07:00:00,"{'BTC': 0.0, 'ETH': 106.8896943655927, 'SOL': 0.0, 'DOGE': 88641.96337098666, 'USDT': 597967.9062072525}","{'BTC': -0.3, 'ETH': 0.3, 'SOL': 0.0, 'DOGE': 0.1, 'USDT': 0.4}",996274.5542403506
2024-11-26 08:00:00,"{'BTC': 0.0, 'ETH': 106.8896943655927, 'SOL': 106.73744392519004, 'DOGE': 72686.40996420906, 'USDT': 579347.7546033483}","{'BTC': -0.5, 'ETH': 0.0, 'SOL': 0.2, 'DOGE': -0.3, 'USDT': 0.6}",993115.4917140428
2024-11-26 09:00:00,"{'BTC': 0.0, 'ETH': 94.06293104172158, 'SOL': 81.12045738314443, 'DOGE': 72686.40996420906, 'USDT': 628408.7156871309}","{'BTC': -0.3, 'ETH': -0.2, 'SOL': -0.4, 'DOGE': 0.0, 'USDT': 0.5}",991941.4485207023
2024-11-26 10:00:00,"{'BTC': 0.0, 'ETH': 100.00930286788054, 'SOL': 66.51877505417843, 'DOGE': 63964.04076850397, 'USDT': 615290.836837122}","{'BTC': -0.5, 'ETH': 0.2, 'SOL': -0.3, 'DOGE': -0.2, 'USDT': 0.8}",986128.6131940174
2024-11-26 11:00:00,"{'BTC': 0.0, 'ETH': 108.49474905696881, 'SOL': 50.55426904117561, 'DOGE': 63964.04076850397, 'USDT': 590730.3107243478}","{'BTC': -0.3, 'ETH': 0.2, 'SOL': -0.4, 'DOGE': 0.0, 'USDT': 0.5}",986942.3183791507
