timestamp,portfolio,scores,total_value
2025-02-21 00:00:00,"{'BTC': 0.0, 'ETH': 0.0, 'SOL': 16.364927328724107, 'DOGE': 0.0, 'USDT': 997142.8571428572}","{'BTC': -0.3, 'ETH': -0.4, 'SOL': 0.2, 'DOGE': 0.0, 'USDT': 0.5}",1000203.3293999999
2025-02-21 01:00:00,"{'BTC': 0.04622111907132435, 'ETH': 0.0, 'SOL': 47.63146103066084, 'DOGE': 0.0, 'USDT': 987142.8795032044}","{'BTC': 0.5, 'ETH': 0.0, 'SOL': 0.6, 'DOGE': 0.0, 'USDT': -0.3}",1000185.4071457017
2025-02-21 02:00:00,"{'BTC': 0.023110559535662174, 'ETH': 0.0, 'SOL': 82.21059044080158, 'DOGE': 0.0, 'USDT': 983411.3972421772}","{'BTC': -0.5, 'ETH': 0.0, 'SOL': 0.3, 'DOGE': 0.0, 'USDT': 0.2}",1000200.7418694973
2025-02-21 03:00:00,"{'BTC': 0.011555279767831087, 'ETH': 0.0, 'SOL': 103.83039800889026, 'DOGE': 0.0, 'USDT': 980796.0389387843}","{'BTC': -0.5, 'ETH': 0.0, 'SOL': 0.3, 'DOGE': 0.0, 'USDT': 0.5}",1000152.4765868455
2025-02-21 04:00:00,"{'BTC': 0.008088695837481761, 'ETH': 0.0, 'SOL': 139.71496816913512, 'DOGE': 0.0, 'USDT': 974886.4764506693}","{'BTC': -0.3, 'ETH': 0.0, 'SOL': 0.5, 'DOGE': 0.0, 'USDT': 0.3}",1000210.3369999437
2025-02-21 05:00:00,"{'BTC': 0.005662087086237232, 'ETH': 0.0, 'SOL': 156.02175622260106, 'DOGE': 0.0, 'USDT': 972267.5538095103}","{'BTC': -0.3, 'ETH': 0.0, 'SOL': 0.2, 'DOGE': 0.0, 'USDT': 0.5}",1000364.862525589
2025-02-21 06:00:00,"{'BTC': 0.003963460960366063, 'ETH': 0.0, 'SOL': 172.24751206416548, 'DOGE': 0.0, 'USDT': 969576.7330708529}","{'BTC': -0.3, 'ETH': 0.0, 'SOL': 0.2, 'DOGE': 0.0, 'USDT': 0.5}",1000507.2022031174
2025-02-21 07:00:00,"{'BTC': 0.0019817304801830315, 'ETH': 0.0, 'SOL': 189.29924836861147, 'DOGE': 0.0, 'USDT': 966770.5173530964}","{'BTC': -0.5, 'ETH': 0.0, 'SOL': 0.3, 'DOGE': 0.0, 'USDT': 0.7}",1000489.0287973831
2025-02-21 08:00:00,"{'BTC': 0.001387211336128122, 'ETH': 0.0, 'SOL': 210.55245326802324, 'DOGE': 0.0, 'USDT': 963077.5030821931}","{'BTC': -0.3, 'ETH': 0.0, 'SOL': 0.3, 'DOGE': 0.0, 'USDT': 0.5}",1000630.9245272302
2025-02-21 09:00:00,"{'BTC': 0.0009710479352896854, 'ETH': 0.0, 'SOL': 245.75127734663482, 'DOGE': 0.0, 'USDT': 956864.5425927014}","{'BTC': -0.3, 'ETH': 0.0, 'SOL': 0.5, 'DOGE': 0.0, 'USDT': 0.3}",1000811.8257048667
2025-02-21 10:00:00,"{'BTC': 0.0006797335547027798, 'ETH': 0.0, 'SOL': 280.58841377308727, 'DOGE': 0.0, 'USDT': 950636.41451381}","{'BTC': -0.3, 'ETH': 0.0, 'SOL': 0.5, 'DOGE': 0.0, 'USDT': 0.3}",1001267.2367959652
