timestamp,portfolio,scores,total_value
2024-11-26 00:00:00,"{'BTC': 0.0, 'ETH': 0.8755969795740854, 'SOL': 0.0, 'DOGE': 2506.67607042578, 'USDT': 996000.0}","{'BTC': -0.5, 'ETH': 0.3, 'SOL': -0.3, 'DOGE': 0.1, 'USDT': 0.6}",999943.4253
2024-11-26 01:00:00,"{'BTC': 0.0, 'ETH': 3.051001044596873, 'SOL': 0.0, 'DOGE': 2506.67607042578, 'USDT': 988499.7081910884}","{'BTC': -0.3, 'ETH': 0.6, 'SOL': -0.1, 'DOGE': 0.0, 'USDT': 0.2}",1000374.0619944958
2024-11-26 02:00:00,"{'BTC': 0.0, 'ETH': 4.865513528323969, 'SOL': 0.0, 'DOGE': 2506.67607042578, 'USDT': 982249.5307400362}","{'BTC': -0.3, 'ETH': 0.5, 'SOL': 0.0, 'DOGE': 0.0, 'USDT': 0.3}",1000287.4872244257
2024-11-26 03:00:00,"{'BTC': 0.0, 'ETH': 7.049409149040089, 'SOL': 0.0, 'DOGE': 2506.67607042578, 'USDT': 974749.7213255157}","{'BTC': -0.5, 'ETH': 0.6, 'SOL': -0.3, 'DOGE': 0.0, 'USDT': 0.2}",1000363.0609308524
2024-11-26 04:00:00,"{'BTC': 0.0, 'ETH': 8.302384393106394, 'SOL': 0.0, 'DOGE': 2005.340856340624, 'USDT': 970667.4925112127}","{'BTC': -0.5, 'ETH': 0.3, 'SOL': 0.0, 'DOGE': -0.2, 'USDT': 0.4}",1000153.5371233969
2024-11-26 05:00:00,"{'BTC': 0.0, 'ETH': 10.38364347455719, 'SOL': 0.0, 'DOGE': 2005.340856340624, 'USDT': 963524.8018274662}","{'BTC': -0.3, 'ETH': 0.5, 'SOL': -0.2, 'DOGE': 0.0, 'USDT': 0.2}",1000274.3433878834
2024-11-26 06:00:00,"{'BTC': 0.0, 'ETH': 11.478875210191408, 'SOL': 0.0, 'DOGE': 2005.340856340624, 'USDT': 959775.2391706501}","{'BTC': -0.3, 'ETH': 0.3, 'SOL': -0.2, 'DOGE': 0.0, 'USDT': 0.5}",1000280.0215867277
2024-11-26 07:00:00,"{'BTC': 0.0, 'ETH': 12.950885849915702, 'SOL': 7.067397641767295, 'DOGE': 2005.340856340624, 'USDT': 953111.5999885625}","{'BTC': -0.3, 'ETH': 0.3, 'SOL': 0.1, 'DOGE': 0.0, 'USDT': 0.2}",999675.3395946721
2024-11-26 08:00:00,"{'BTC': 0.0, 'ETH': 12.950885849915702, 'SOL': 4.947178349237106, 'DOGE': 1604.2726850724991, 'USDT': 953760.598246022}","{'BTC': -0.4, 'ETH': 0.0, 'SOL': -0.3, 'DOGE': -0.2, 'USDT': 0.9}",999410.086615657
2024-11-26 09:00:00,"{'BTC': 0.0, 'ETH': 13.694761470554425, 'SOL': 3.4630248444659744, 'DOGE': 1604.2726850724991, 'USDT': 951610.3526045547}","{'BTC': -0.5, 'ETH': 0.2, 'SOL': -0.3, 'DOGE': 0.0, 'USDT': 0.6}",999338.8442746904
2024-11-26 10:00:00,"{'BTC': 0.0, 'ETH': 13.694761470554425, 'SOL': 1.7315124222329872, 'DOGE': 962.5636110434995, 'USDT': 952245.7736715105}","{'BTC': -0.3, 'ETH': 0.0, 'SOL': -0.5, 'DOGE': -0.4, 'USDT': 0.6}",998254.0381158635
2024-11-26 11:00:00,"{'BTC': 0.0, 'ETH': 14.44598194169675, 'SOL': 1.212058695563091, 'DOGE': 962.5636110434995, 'USDT': 949867.8152046734}","{'BTC': -0.5, 'ETH': 0.2, 'SOL': -0.3, 'DOGE': 0.0, 'USDT': 0.6}",998565.2501021458
2024-11-26 12:00:00,"{'BTC': 0.0, 'ETH': 15.307198603290573, 'SOL': 0.9696469564504728, 'DOGE': 962.5636110434995, 'USDT': 947070.5723522338}","{'BTC': -0.3, 'ETH': 0.2, 'SOL': -0.2, 'DOGE': 0.0, 'USDT': 0.5}",998164.1357005729
2024-11-26 13:00:00,"{'BTC': 0.0, 'ETH': 16.06079047772848, 'SOL': 0.678752869515331, 'DOGE': 962.5636110434995, 'USDT': 944641.0090385197}","{'BTC': -0.5, 'ETH': 0.2, 'SOL': -0.3, 'DOGE': 0.0, 'USDT': 0.6}",998075.6168656767
2024-11-26 14:00:00,"{'BTC': 0.0, 'ETH': 17.851646585638946, 'SOL': 0.6108775825637979, 'DOGE': 962.5636110434995, 'USDT': 938663.1682456977}","{'BTC': -0.3, 'ETH': 0.3, 'SOL': -0.1, 'DOGE': 0.0, 'USDT': 0.2}",998927.7471897462
2024-11-26 15:00:00,"{'BTC': 0.0, 'ETH': 20.013675719622828, 'SOL': 0.4887020660510383, 'DOGE': 962.5636110434995, 'USDT': 931562.1861851756}","{'BTC': -0.3, 'ETH': 0.5, 'SOL': -0.2, 'DOGE': 0.0, 'USDT': 0.2}",998173.9689823098
2024-11-26 16:00:00,"{'BTC': 0.0, 'ETH': 21.885640459501353, 'SOL': 0.43983185944593445, 'DOGE': 962.5636110434995, 'USDT': 925331.0804415898}","{'BTC': -0.3, 'ETH': 0.5, 'SOL': -0.1, 'DOGE': 0.0, 'USDT': 0.3}",999230.0083097194
2024-11-26 17:00:00,"{'BTC': 0.0, 'ETH': 23.761766399901948, 'SOL': 0.35186548755674757, 'DOGE': 962.5636110434995, 'USDT': 919110.0113939212}","{'BTC': -0.3, 'ETH': 0.5, 'SOL': -0.2, 'DOGE': 0.0, 'USDT': 0.3}",998904.1134746753
2024-11-26 18:00:00,"{'BTC': 0.0, 'ETH': 23.761766399901948, 'SOL': 0.17593274377837378, 'DOGE': 770.0508888347996, 'USDT': 919221.8340257574}","{'BTC': -0.3, 'ETH': 0.0, 'SOL': -0.5, 'DOGE': -0.2, 'USDT': 0.6}",997894.7186003254
2024-11-26 19:00:00,"{'BTC': 0.0, 'ETH': 24.51775608362934, 'SOL': 0.12315292064486165, 'DOGE': 693.0457999513196, 'USDT': 916768.1585136214}","{'BTC': -0.4, 'ETH': 0.2, 'SOL': -0.3, 'DOGE': -0.1, 'USDT': 0.6}",998225.0472916422
2024-11-26 20:00:00,"{'BTC': 0.0, 'ETH': 25.268617375806247, 'SOL': 0.061576460322430825, 'DOGE': 693.0457999513196, 'USDT': 914285.9225340621}","{'BTC': -0.3, 'ETH': 0.2, 'SOL': -0.5, 'DOGE': 0.0, 'USDT': 0.6}",998215.5453849359
