timestamp,portfolio,scores,total_value
2024-11-26 00:00:00,"{'BTC': 0.0, 'ETH': 112.25602302231864, 'SOL': 0.0, 'DOGE': 0.0, 'USDT': 615384.6153846156}","{'BTC': -0.3, 'ETH': 0.5, 'SOL': -0.2, 'DOGE': 0.0, 'USDT': 0.8}",999943.4253000002
2024-11-26 01:00:00,"{'BTC': 0.0, 'ETH': 223.81086548437906, 'SOL': 0.0, 'DOGE': 0.0, 'USDT': 230769.23076923075}","{'BTC': -0.2, 'ETH': 0.5, 'SOL': 0.0, 'DOGE': 0.0, 'USDT': 0.3}",1002753.460263789
2024-11-26 02:00:00,"{'BTC': 0.0, 'ETH': 260.3538555939453, 'SOL': 0.0, 'DOGE': 103177.60909621851, 'USDT': 62937.06293706294}","{'BTC': -0.5, 'ETH': 0.6, 'SOL': 0.0, 'DOGE': 0.2, 'USDT': 0.3}",1001956.2867103453
2024-11-26 03:00:00,"{'BTC': 0.0, 'ETH': 265.79890028264225, 'SOL': 0.0, 'DOGE': 96986.9525504454, 'USDT': 46747.65248783175}","{'BTC': -0.3, 'ETH': 0.2, 'SOL': 0.0, 'DOGE': -0.1, 'USDT': 0.5}",999244.9279257827
2024-11-26 04:00:00,"{'BTC': 0.0, 'ETH': 275.56241161116446, 'SOL': 0.0, 'DOGE': 96986.9525504454, 'USDT': 13356.4721393805}","{'BTC': -0.5, 'ETH': 0.5, 'SOL': 0.0, 'DOGE': 0.0, 'USDT': 0.2}",995318.6859783884
2024-11-26 05:00:00,"{'BTC': 0.0, 'ETH': 277.9948177035463, 'SOL': 0.0, 'DOGE': 96986.9525504454, 'USDT': 5008.677052267688}","{'BTC': -0.3, 'ETH': 0.5, 'SOL': -0.2, 'DOGE': 0.0, 'USDT': 0.3}",998832.6522356967
2024-11-26 06:00:00,"{'BTC': 0.0, 'ETH': 279.17642454927955, 'SOL': 0.0, 'DOGE': 85348.51824439196, 'USDT': 5663.379048935101}","{'BTC': 0.0, 'ETH': 0.5, 'SOL': 0.0, 'DOGE': -0.2, 'USDT': 0.7}",996294.7843436569
2024-11-26 07:00:00,"{'BTC': 0.0, 'ETH': 279.3849330931603, 'SOL': 0.0, 'DOGE': 85348.51824439196, 'USDT': 4955.456667818214}","{'BTC': -0.3, 'ETH': 0.1, 'SOL': -0.5, 'DOGE': 0.0, 'USDT': 0.7}",987601.6047246289
2024-11-26 08:00:00,"{'BTC': 0.0, 'ETH': 279.91491946079316, 'SOL': 0.0, 'DOGE': 75106.69605506492, 'USDT': 7149.623938121864}","{'BTC': -0.3, 'ETH': 0.1, 'SOL': 0.0, 'DOGE': -0.2, 'USDT': 0.4}",980569.1789175723
2024-11-26 09:00:00,"{'BTC': 0.0, 'ETH': 281.1495797042405, 'SOL': 5.9045386080873286, 'DOGE': 61587.49076515324, 'USDT': 6908.976975146048}","{'BTC': 0.0, 'ETH': 0.3, 'SOL': 0.1, 'DOGE': -0.3, 'USDT': 0.5}",976640.2320472187
