timestamp,portfolio,scores,total_value
2024-08-16 00:00:00,"{'BTC': 0.5434897430925724, 'ETH': 7.284765881111263, 'SOL': 0.0, 'DOGE': 0.0, 'USDT': 950000.0}","{'BTC': 0.5, 'ETH': 0.3, 'SOL': 0.0, 'DOGE': 0.0, 'USDT': -0.4}",1000212.7696
2024-08-16 01:00:00,"{'BTC': 0.8330402708169613, 'ETH': 11.60226659281693, 'SOL': 156.27319183565234, 'DOGE': 0.0, 'USDT': 899998.3729450597}","{'BTC': 0.3, 'ETH': 0.2, 'SOL': 0.4, 'DOGE': 0.0, 'USDT': -0.3}",1000212.2653470397
2024-08-16 02:00:00,"{'BTC': 1.1912463466989383, 'ETH': 16.424038911841087, 'SOL': 272.63446887611263, 'DOGE': 0.0, 'USDT': 849947.8055409171}","{'BTC': 0.5, 'ETH': 0.3, 'SOL': 0.4, 'DOGE': 0.0, 'USDT': -0.3}",1001230.3755720865
2024-08-16 03:00:00,"{'BTC': 1.662209209345182, 'ETH': 21.707861403456594, 'SOL': 336.56595863838004, 'DOGE': 0.0, 'USDT': 799942.7584565497}","{'BTC': 0.6, 'ETH': 0.3, 'SOL': 0.2, 'DOGE': 0.0, 'USDT': -0.5}",1000299.7711555022
2024-08-16 04:00:00,"{'BTC': 2.0913882642929034, 'ETH': 27.489185279064195, 'SOL': 406.72853074609264, 'DOGE': 0.0, 'USDT': 749876.4465908123}","{'BTC': 0.5, 'ETH': 0.3, 'SOL': 0.2, 'DOGE': 0.0, 'USDT': -0.3}",1001534.2323001013
2024-08-16 05:00:00,"{'BTC': 2.4496871638452196, 'ETH': 32.307109518094904, 'SOL': 523.2096640216938, 'DOGE': 0.0, 'USDT': 699809.8675382573}","{'BTC': 0.5, 'ETH': 0.3, 'SOL': 0.4, 'DOGE': 0.0, 'USDT': -0.3}",1001549.5126587963
2024-08-16 06:00:00,"{'BTC': 2.8782574593747534, 'ETH': 35.88939205239641, 'SOL': 631.7596711116182, 'DOGE': 0.0, 'USDT': 649625.5568775735}","{'BTC': 0.8, 'ETH': 0.3, 'SOL': 0.5, 'DOGE': 0.0, 'USDT': -0.4}",1003935.7692518866
2024-08-16 07:00:00,"{'BTC': 3.24589796940686, 'ETH': 39.99536641063949, 'SOL': 755.5613552950246, 'DOGE': 0.0, 'USDT': 599458.2927292705}","{'BTC': 0.6, 'ETH': 0.3, 'SOL': 0.5, 'DOGE': 0.0, 'USDT': -0.4}",1003490.6948882171
2024-08-16 08:00:00,"{'BTC': 3.6751352294784474, 'ETH': 43.58403740731838, 'SOL': 864.3899867886212, 'DOGE': 0.0, 'USDT': 549335.27459962}","{'BTC': 0.8, 'ETH': 0.3, 'SOL': 0.5, 'DOGE': 0.0, 'USDT': -0.4}",1002709.0511553347
2024-08-16 09:00:00,"{'BTC': 4.0419280844333025, 'ETH': 47.68045417305769, 'SOL': 988.5076201326583, 'DOGE': 0.0, 'USDT': 499115.929263537}","{'BTC': 0.6, 'ETH': 0.3, 'SOL': 0.5, 'DOGE': 0.0, 'USDT': -0.4}",1004693.5172183774
